word		translation	chapter
based on evidence		auf Beweise gestützt, aufgrund von Hinweisen	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
bathtub		Badewanne	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
battery		Batterie	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
bison		Bison	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
brew		zusammenbrauen	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
camp		zelten, campieren	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
caption		Bildlegende	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
cardinal number		Kardinalzahl	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
category		Kategorie	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
cause damage		Schaden verursachen/anrichten	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
chill		Kälte	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
circular motion		Kreisbewegung	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
coast		Küste	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
county		Bezirk (USA), Grafschaft (UK)	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
cry		weinen	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
dangerous		gefährlich	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
declare		hierː erklären für	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
definition		Definition	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
destruction		Zerstörung	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
devastation		Verwüstung	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
extreme		extrem, äusserste(r, s)	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
eye of the storm		Sturmzentrum	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
eye wall		Augenwall	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
false		falsch	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
fireplace		Kamin	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
first-aid		Erste-Hilfe-	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
format		Format	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
furniture		Möbel	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
God		Gott	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
hat		Hut, Mütze	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
heavy snowfall		starker Schneefall	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
I was born on		ich wurde geboren am	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
illustration		Illustration	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
low visibility		schlechte Sicht	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
make landfall		Land erreichen	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
minus		minus	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
news ticker		Nachrichtenticker	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
ocean		Ozean	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
ordinal number		Ordinalzahl	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
outdoors		draussen, im Freien	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
plane		Flugzeug	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
powerful		mächtig, kräftig	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
predict / make a prediction		vorhersagen	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
racquet		Schläger	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
radar		Radar	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
rainfall		Regen, Niederschlag	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
runner		Läufer/-in	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
shake up		(drastisch) verändern, aufwühlen	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
shake up		(drastisch) verändern, aufwühlen	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
shine		scheinen, glänzen	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
silently		lautlos, leise	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
sky		Himmel	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
sneeze		niesen	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
snowfall		Schneefall	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
spin		sich drehen	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
strengthen		(ver-)stärken, stärker werden	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
take off		hierː abheben, starten	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
take pictures		Fotos machen, fotografieren	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
tent		Zelt	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
tonight		heute Abend	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
tragedy		Tragödie	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
tropical		tropisch	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
upgrade		hier: höherstufen	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
valuable		wertvoll	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
weak		schwach	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
weaken		(ab-)schwächen, schwächer werden	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
wood		Holz	Open World (2015) - Unit 5 - 04 Blizzards and hurricanes
at a later date		zu einem späteren Zeitpunkt, später einmal	Open World (2015) - Unit 5 - 05 Weather idioms
be out of touch with		den Sinn für … verloren haben	Open World (2015) - Unit 5 - 05 Weather idioms
boss		Chef/-in	Open World (2015) - Unit 5 - 05 Weather idioms
Brits (pl)		Briten/Britinnen	Open World (2015) - Unit 5 - 05 Weather idioms
chaos		Chaos, Durcheinander	Open World (2015) - Unit 5 - 05 Weather idioms
colleague		Kollege/Kollegin	Open World (2015) - Unit 5 - 05 Weather idioms
go on about		dauernd reden über	Open World (2015) - Unit 5 - 05 Weather idioms
idiom		(idiomatische) Redewendung	Open World (2015) - Unit 5 - 05 Weather idioms
ill		krank	Open World (2015) - Unit 5 - 05 Weather idioms
in a fixed order		in einer festen Reihenfolge	Open World (2015) - Unit 5 - 05 Weather idioms
interviewer		Interviewer/-in	Open World (2015) - Unit 5 - 05 Weather idioms
joke		Witz	Open World (2015) - Unit 5 - 05 Weather idioms
misunderstanding		Missverständnis	Open World (2015) - Unit 5 - 05 Weather idioms
presenter		Moderator/-in	Open World (2015) - Unit 5 - 05 Weather idioms
ray		Strahl	Open World (2015) - Unit 5 - 05 Weather idioms
reality		Realität, Wirklichkeit	Open World (2015) - Unit 5 - 05 Weather idioms
sketch		hier: Sketch, lustige Szene	Open World (2015) - Unit 5 - 05 Weather idioms
storm in a teacup		Sturm im Wasserglas	Open World (2015) - Unit 5 - 05 Weather idioms
environment		Umgebung, Umwelt	Open World (2015) - Unit 6 - 01 Keywords
forum		Forum	Open World (2015) - Unit 6 - 01 Keywords
fragment		Stück, Teil	Open World (2015) - Unit 6 - 01 Keywords
garbage patch		Müllfleck (Ansammlung von Plastik im Pazifik)	Open World (2015) - Unit 6 - 01 Keywords
online		online, Online-	Open World (2015) - Unit 6 - 01 Keywords
Pacific Ocean		pazifischer Ozean, Pazifik	Open World (2015) - Unit 6 - 01 Keywords
plastic		Plastik	Open World (2015) - Unit 6 - 01 Keywords
quiz		Quiz, Ratespiel	Open World (2015) - Unit 6 - 01 Keywords
surface		Oberfläche	Open World (2015) - Unit 6 - 01 Keywords
waste		Abfall	Open World (2015) - Unit 6 - 01 Keywords
as … as		so … wie	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
break up		hierː auflösen, auseinanderbrechen	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
carry		tragen	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
clean up		sauber machen, reinigen	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
clean-up		gründliche Reinigung	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
collect		sammeln	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
collection		Sammlung	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
context		Kontext, Zusammenhang	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
current		Strömung	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
deep blue		Blaues Meer	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
definitely		eindeutig, definitiv	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
disappear		verschwinden	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
end up		gelangen, landen	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
flip through		durchblättern	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
float		schwimmen, treiben	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
get trapped		sich verfangen, hängen bleiben	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
grain		Korn	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
have an effect on		eine Wirkung haben auf	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
impossible		unmöglich	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
logical		logisch	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
mile		Meile	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
north		nördlich, Nord-	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
overall		insgesamt, im Grossen und Ganzen	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
parallel word		Parallelwort	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
PET bottle		PET-Flasche	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
pick up		aufheben	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
piece		Stück	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
recycle		recyceln, wiederaufbereiten	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
river		Fluss	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
rope		Seil	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
sand		Sand	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
sink		untergehen	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
somewhere		irgendwo	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
surprisingly		erstaunlicherweise	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
throw away		wegwerfen	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
tiny		winzig	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
toothbrush		Zahnbürste	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
transport		transportieren	Open World (2015) - Unit 6 - 02 The Great Pacific Garbage Patch
appearance		Aussehen	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
attached (to)		befestigt (an), angeheftet (an)	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
banded		hier: gebändert	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
banded sea krait		Nattern-Plattschwanz (Seeschlange)	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
breathe		atmen	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
brownish		bräunlich	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
coastal		Küsten-	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
coral reef		Korallenriff	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
crab		Krebs	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
creature		Kreatur, Geschöpf	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
disc		Scheibe	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
disguised		verkleidet, getarnt	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
diver		Taucher/-in	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
dugong		Seekuh	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
fascinating		faszinierend	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
football pitch		Fussballfeld	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
giant		riesig	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
give birth		gebären	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
Gulf of Mexico		Golf von Mexiko	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
hardly		kaum	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
herd		Herde	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
interestingly		interessanterweise	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
jellyfish		Qualle	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
lay		legen	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
length		Länge	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
living fossil		lebendes Fossil	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
mammal		Säugetier	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
mola mola		Mondfisch	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
mostly		hauptsächlich, grösstenteils	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
nautilus		Meeresschnecke	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
paralyse		lähmen	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
plankton		Plankton	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
poisonous		giftig	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
pygmy seahorse		Zwerg-Seepferdchen	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
rough		rau	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
sandpaper		Schmirgelpapier	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
sea cow		Seekuh	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
sea grass		Seegras	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
shell		Schale, Panzer	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
shellfish		Schalentier	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
size		Grösse	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
slow-moving		sich langsam bewegend	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
snake		Schlange	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
Southeast Asia		Südostasien	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
special fact		besondere Tatsache	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
spiral		spiralförmig, Spiral-	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
spot		Punkt, Stelle	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
stripe		Streifen	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
sunbathing		Sonnenbaden	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
swimmer		Schwimmer/-in	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
the Caribbean		Karibik	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
thick		dick, zähflüssig	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
ton		Tonne	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
underside		Unterseite	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
victim		Opfer	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
weigh		wiegen, wägen	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
weight		Gewicht	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
whale shark		Walhai	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
yellowish		gelblich	Open World (2015) - Unit 6 - 03 Fascinating creatures: a quiz
alternative		Alternative	Open World (2015) - Unit 6 - 04 The beauty of the ocean
anchovy		Sardelle	Open World (2015) - Unit 6 - 04 The beauty of the ocean
beach		Strand	Open World (2015) - Unit 6 - 04 The beauty of the ocean
belong to		gehören	Open World (2015) - Unit 6 - 04 The beauty of the ocean
contrast		Kontrast, Gegensatz	Open World (2015) - Unit 6 - 04 The beauty of the ocean
environmental		Umwelt-	Open World (2015) - Unit 6 - 04 The beauty of the ocean
feed		füttern	Open World (2015) - Unit 6 - 04 The beauty of the ocean
fish farm		Fischzuchtanlage	Open World (2015) - Unit 6 - 04 The beauty of the ocean
garbage		Müll, Abfall	Open World (2015) - Unit 6 - 04 The beauty of the ocean
harm		schädigen	Open World (2015) - Unit 6 - 04 The beauty of the ocean
in order to		um zu	Open World (2015) - Unit 6 - 04 The beauty of the ocean
label		Etikett, Aufkleber	Open World (2015) - Unit 6 - 04 The beauty of the ocean
marine life		Meeresleben	Open World (2015) - Unit 6 - 04 The beauty of the ocean
overfishing		Überfischung	Open World (2015) - Unit 6 - 04 The beauty of the ocean
partly		teilweise	Open World (2015) - Unit 6 - 04 The beauty of the ocean
reason		Grund	Open World (2015) - Unit 6 - 04 The beauty of the ocean
reply		Antwort, Erwiderung	Open World (2015) - Unit 6 - 04 The beauty of the ocean
reuse		wiederverwenden	Open World (2015) - Unit 6 - 04 The beauty of the ocean
sardine		Sardine	Open World (2015) - Unit 6 - 04 The beauty of the ocean
scooter		(Motor-)Roller	Open World (2015) - Unit 6 - 04 The beauty of the ocean
seahorse		Seepferdchen	Open World (2015) - Unit 6 - 04 The beauty of the ocean
so that		damit, sodass	Open World (2015) - Unit 6 - 04 The beauty of the ocean
survive		überleben	Open World (2015) - Unit 6 - 04 The beauty of the ocean
swallow		schlucken	Open World (2015) - Unit 6 - 04 The beauty of the ocean
underwater		Unterwasser-	Open World (2015) - Unit 6 - 04 The beauty of the ocean
whenever		wann auch immer	Open World (2015) - Unit 6 - 04 The beauty of the ocean
bin		Abfalleimer, Mülltonne	Open World (2015) - Unit 6 - 05 Focus
dirt		Schmutz, Dreck	Open World (2015) - Unit 6 - 05 Focus
FAQ (frequently asked questions)		FAQ (häufig gestellte Fragen)	Open World (2015) - Unit 6 - 05 Focus
frighten		erschrecken, Angst machen	Open World (2015) - Unit 6 - 05 Focus
get active		aktiv werden	Open World (2015) - Unit 6 - 05 Focus
littering		Littering, Vermüllung	Open World (2015) - Unit 6 - 05 Focus
mad		wahnsinnig, verrückt	Open World (2015) - Unit 6 - 05 Focus
protect		schützen	Open World (2015) - Unit 6 - 05 Focus
sad		traurig	Open World (2015) - Unit 6 - 05 Focus
social media channel		Social-Media-Kanal	Open World (2015) - Unit 6 - 05 Focus
switch off		ausschalten	Open World (2015) - Unit 6 - 05 Focus
thread		Faden	Open World (2015) - Unit 6 - 05 Focus
Asia		Asien	Open World (2015) - Unit 7 - 01 Keywords
charity		Wohltätigkeit, Wohltätigkeitsorganisation	Open World (2015) - Unit 7 - 01 Keywords
dialect		Dialekt	Open World (2015) - Unit 7 - 01 Keywords
festival		Festival	Open World (2015) - Unit 7 - 01 Keywords
immigrant		Einwanderer/-in	Open World (2015) - Unit 7 - 01 Keywords
mother tongue		Muttersprache	Open World (2015) - Unit 7 - 01 Keywords
neighbourhood		Viertel, Quartier	Open World (2015) - Unit 7 - 01 Keywords
patch		Flicken	Open World (2015) - Unit 7 - 01 Keywords
patchwork		Patchwork, Patchwork-	Open World (2015) - Unit 7 - 01 Keywords
quilt		Steppdecke, Quilt	Open World (2015) - Unit 7 - 01 Keywords
Arabic		Arabisch	Open World (2015) - Unit 7 - 02 A multicultural metropolis
bedcover		Bettüberwurf	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Canada		Kanada	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Canadian		Kanadier/-in	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Cantonese		Kantonesisch (chinesischer Dialekt)	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Chinese		Chinesisch	Open World (2015) - Unit 7 - 02 A multicultural metropolis
citizen		Bürger/-in	Open World (2015) - Unit 7 - 02 A multicultural metropolis
cookie		Guetzli, Keks	Open World (2015) - Unit 7 - 02 A multicultural metropolis
creative		kreativ, schöpferisch	Open World (2015) - Unit 7 - 02 A multicultural metropolis
crispy		knusprig	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Croatian		Kroatisch	Open World (2015) - Unit 7 - 02 A multicultural metropolis
deduce		ableiten	Open World (2015) - Unit 7 - 02 A multicultural metropolis
diverse		vielfältig	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Dutch		Holländisch, Niederländisch	Open World (2015) - Unit 7 - 02 A multicultural metropolis
exciting		aufregend, spannend	Open World (2015) - Unit 7 - 02 A multicultural metropolis
farm		Bauernhof	Open World (2015) - Unit 7 - 02 A multicultural metropolis
France		Frankreich	Open World (2015) - Unit 7 - 02 A multicultural metropolis
frequently		häufig	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Greek		Griechisch	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Italian		Italienisch	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Italy		Italien	Open World (2015) - Unit 7 - 02 A multicultural metropolis
lake		See	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Mandarin		Mandarin (Hochchinesisch)	Open World (2015) - Unit 7 - 02 A multicultural metropolis
measurable		messbar	Open World (2015) - Unit 7 - 02 A multicultural metropolis
metropolis		Metropole, Weltstadt	Open World (2015) - Unit 7 - 02 A multicultural metropolis
mistake		Fehler, Irrtum	Open World (2015) - Unit 7 - 02 A multicultural metropolis
motto		Motto, Devise	Open World (2015) - Unit 7 - 02 A multicultural metropolis
multicultural		multikulturell	Open World (2015) - Unit 7 - 02 A multicultural metropolis
North America		Nordamerika	Open World (2015) - Unit 7 - 02 A multicultural metropolis
percentage		Prozentsatz	Open World (2015) - Unit 7 - 02 A multicultural metropolis
perfectly		fehlerlos, perfekt	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Philippine		philippinisch	Open World (2015) - Unit 7 - 02 A multicultural metropolis
ping-pong		Pingpong, Tischtennis	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Polish		Polnisch	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Portuguese		Portugiesisch	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Punjabi		Pandschabi (Sprache)	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Russian		Russisch	Open World (2015) - Unit 7 - 02 A multicultural metropolis
sewn together		zusammengenäht	Open World (2015) - Unit 7 - 02 A multicultural metropolis
situated		gelegen	Open World (2015) - Unit 7 - 02 A multicultural metropolis
skyline		Skyline	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Spain		Spanien	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Spanish		Spanisch	Open World (2015) - Unit 7 - 02 A multicultural metropolis
speaker		Sprecher/-in	Open World (2015) - Unit 7 - 02 A multicultural metropolis
spectacularly		sensationell, eindrucksvoll	Open World (2015) - Unit 7 - 02 A multicultural metropolis
sunshine		Sonnenschein	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Swedish		Schwedisch	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Tagalog		Tagalog	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Tamil		Tamil, Tamilisch	Open World (2015) - Unit 7 - 02 A multicultural metropolis
tongue twister		Zungenbrecher	Open World (2015) - Unit 7 - 02 A multicultural metropolis
tower		Turm	Open World (2015) - Unit 7 - 02 A multicultural metropolis
traffic		Verkehr	Open World (2015) - Unit 7 - 02 A multicultural metropolis
tram		Tram, Strassenbahn	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Turkish		Türkisch	Open World (2015) - Unit 7 - 02 A multicultural metropolis
unique		einzigartig	Open World (2015) - Unit 7 - 02 A multicultural metropolis
Urdu		Urdu	Open World (2015) - Unit 7 - 02 A multicultural metropolis
adore		bewundern	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
arts and crafts		Kunsthandwerk	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
Asian		asiatisch	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
avenue		Avenue, Boulevard	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
bakery		Bäckerei	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
banker		Banker/-in	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
bowed		bogenförmig, gebogen	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
bus stop		Bushaltestelle	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
cabbage		Kohl	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
campus		Universitätsgelände	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
Chinatown		Chinatown, Chinesenviertel	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
cucumber		(Salat)gurke	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
dentist		Zahnarzt/-ärztin	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
dim sum		Dim Sum (gefüllte chinesische Knödel)	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
disadvantage		Nachteil	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
district		Quartier, Stadtviertel	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
downtown		Innenstadt, Stadtzentrum	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
free-standing		frei stehend	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
goods (pl)		Waren, Güter	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
hairdresser		Coiffeur, Coiffeuse	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
herbal		Kräuter-	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
household		Haushalt	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
Huron Indian		von den Huron-Indianern	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
instrument		Instrument	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
located		gelegen	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
market stall		Marktstand	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
medicine		Medizin, Medikament(e)	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
musician		Musiker/-in	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
mussels (pl)		(Mies)muscheln	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
Native American		Amerikanische Ureinwohner-	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
neighbour		Nachbar/-in	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
noisy		lärmig, laut	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
non-Asian		nicht asiatisch	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
optician		Optiker/-in	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
pitahaya		Pitahaya	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
province		Provinz	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
pulsate		pulsieren	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
rambutan		Rambutan	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
resident		Bewohner/-in	Open World (2015) - Unit 7 - 03 Toronto and its neighbourhoods
